id,university,score, major, degree, decision, status, year, gpafin, grev, grem,gretot, grew, new_gre
48,The University Of Wisconsin - Madison (UW),4.1,CS,PhD,Rejected,A,2017,3.65,167,162,329,5,TRUE
49,The University Of Pennsylvania,3.8,CS,Masters,Accepted,A,2017,3.8,159,164,323,5,TRUE
50,UCSD,4,CS,Masters,Rejected,I,2015,3.4,148,165,313,3,TRUE
51,"University Of California, Irvine",3.4,CS,Masters,Rejected,I,2013,3.5,153,166,319,3,TRUE
52,Cornell University,4.5,CS,PhD,Rejected,I,2012,2,165,166,331,5.5,TRUE
53,UT Austin,4.3,CS,PhD,Rejected,A,2016,3.26,156,159,315,4,TRUE
54,Duke,3.6,CS,PhD,Accepted,U,2016,3.86,170,159,329,3,TRUE
55,Stanford University,5,CS,PhD,Rejected,U,2018,3.4,144,163,307,3,TRUE
56,Purdue University,3.7,CS,PhD,Accepted,I,2014,3.8,156,167,323,3.5,TRUE
57,University Of Washington,4.5,CS,PhD,Rejected,I,2014,3.86,154,165,319,3.5,TRUE
58,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,I,2016,3.8,159,164,323,4.5,TRUE
59,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,I,2014,3.69,156,165,321,3,TRUE
60,Massachusetts Institute Of Technology (MIT),5,CS,PhD,Rejected,I,2012,3.76,148,168,316,3.5,TRUE
61,UT Austin,4.3,CS,PhD,Rejected,I,2013,3.9,162,170,332,4,TRUE
62,University Of California At Davis,3.3,CS,PhD,Rejected,U,2013,3.44,150,160,310,4,TRUE
63,Princeton,4.4,CS,Masters,Rejected,A,2015,3.6,162,168,330,,TRUE
64,University Of Texas At Austin,4.3,CS,Masters,Accepted,I,2013,3.76,148,168,316,3.5,TRUE
65,"University Of California, Los Angeles (UCLA)",4.1,CS,PhD,Rejected,A,2015,3.8,160,170,330,3.5,TRUE
66,"""University Of Washington",4.5,CS,PhD,Accepted,A,2017,4,167,165,332,5,TRUE
67,NYU,3.4,CS,PhD,Rejected,A,2013,3.9,160,165,325,4.5,TRUE
68,Carnege Mellon University - LTI,5,CS,Masters,Rejected,I,2016,3.9,158,168,326,3,TRUE
69,ีUniversity Of Maryland - College Park (UMD),4,CS,Masters,Rejected,I,2016,3.7,153,162,315,4.5,TRUE
70,"University Of California, Santa Cruz",2.8,CS,PhD,Rejected,I,2014,3.1,152,168,320,3,TRUE
71,University Of Southern California,3.7,CS,Masters,Accepted,U,2015,3.9,159,168,327,4.5,TRUE
72,New York University ( NYU ) GSAS,3.4,CS,Masters,Rejected,I,2018,3.3,151,168,319,4,TRUE
73,University Of Minnesota- Twin Cities,3.5,CS,Masters,Rejected,I,2015,8.1,162,163,325,4,TRUE
74,University Of Minnesota,3.5,CS,Masters,Accepted,U,2014,3.73,153,170,323,3.5,TRUE
75,Carnege Mellon University,5,CS,PhD,Rejected,U,2017,3.9,170,167,337,4,TRUE
76,"(University Of California, Los Angeles (UCLA)",4.1,CS,Masters,Rejected,I,2016,3.8,156,164,320,3.5,TRUE
77,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.89,158,162,320,4.5,TRUE
78,University Of Texas At Austin (UT Austin),4.3,CS,Masters,Accepted,I,2018,3.96,158,170,328,4,TRUE
79,UC Irvine,3.4,CS,PhD,Rejected,A,2015,3.44,159,156,315,3.5,TRUE
80,Princeton University,4.4,CS,Masters,Accepted,U,2015,3.6,155,170,325,5,TRUE
81,Stanford University,5,CS,PhD,Rejected,A,2014,3.32,157,170,327,4,TRUE
82,The University Of Massachusetts Amherst (UMass),3.7,CS,PhD,Accepted,A,2018,3.26,163,164,327,6,TRUE
83,Georgia  Institute Of Technology (Gatech Georgia Tech),4.4,CS,Masters,Accepted,U,2018,3.6,164,162,326,4.5,TRUE
84,Brown University,3.6,CS,Masters,Accepted,U,2018,3.64,153,163,316,3,TRUE
85,"UCSD (University Of California, San Diego)",4,CS,Masters,Rejected,I,2018,3.5,163,163,326,5,TRUE
86,ีUniversity Of Maryland - College Park (UMD),4,CS,PhD,Accepted,A,2018,3.7,170,165,335,5,TRUE
87,"University Of California, San Diego",4,CS,PhD,Accepted,I,2015,2.95,152,163,315,3,TRUE
88,"""University Of Washington",4.5,CS,PhD,Accepted,A,2017,3.85,167,168,335,4,TRUE
89,Brown University,3.6,CS,Masters,Accepted,I,2013,3.77,154,163,317,,TRUE
90,University Of Michigan - Ann Arbor (Umich),4.2,CS,PhD,Accepted,U,2012,3.99,163,170,333,5,TRUE
91,"University Of California, Berkeley",5,CS,Masters,Accepted,A,2016,3.92,166,170,336,5.5,TRUE
92,Cornell  University,4.5,CS,Masters,Accepted,I,2017,3.9,159,170,329,4,TRUE
93,Northeastern (NEU),3,CS,PhD,Accepted,A,2017,3.86,158,168,326,4.5,TRUE
94,Carnege Mellon University - LTI,5,CS,Masters,Rejected,A,2018,3.76,154,167,321,4,TRUE
95,Georgia Tech(GaTech),4.4,CS,Masters,Accepted,I,2015,3.4,160,166,326,4,TRUE
96,University Of Washington (Seattle),4.5,CS,PhD,Rejected,I,2018,4,165,166,331,5,TRUE
97,Northwestern University,3.4,CS,PhD,Rejected,I,2013,3.5,154,168,322,4,TRUE
98,Stanford University,5,CS,Masters,Rejected,A,2015,3.63,166,161,327,4,TRUE
99,"University Of California, Los Angeles (UCLA)",4.1,CS,Masters,Rejected,I,2017,3.84,156,170,326,3,TRUE
100,University Of Texas At Austin,4.3,CS,PhD,Rejected,I,2016,3.92,149,166,315,4,TRUE
101,Columbia University,4.1,CS,Masters,Accepted,I,2014,3,160,168,328,3.5,TRUE
102,"University Of Michigan, Ann Arbor",4.2,CS,PhD,Rejected,I,2016,3.2,149,165,314,3,TRUE
103,Stony Brook University,3.2,CS,Masters,Rejected,I,2015,3.42,159,159,318,4,TRUE
104,Columbia University,4.1,CS,Masters,Rejected,U,2013,3.72,158,162,320,4,TRUE
105,Boston University,3,CS,Masters,Accepted,I,2013,4,166,157,323,3,TRUE
106,University Of Illinois At Urbana-Champaign (UIUC),4.6,CS,Masters,Accepted,U,2015,3.98,164,161,325,3.5,TRUE
107,Massachusett Institute Of Technology (MIT),5,CS,PhD,Accepted,A,2017,3.7,170,168,338,5,TRUE
108,California Institue Of Technology (Caltech),4.2,CS,PhD,Rejected,I,2018,3.55,160,166,326,3.5,TRUE
109,New York University ( NYU),3.4,CS,Masters,Accepted,A,2012,3.73,163,164,327,5,TRUE
110,University Of Michigan Ann Arbor,4.2,CS,PhD,Accepted,I,2013,3.8,163,170,333,4,TRUE
111,New York Univeristy (NYU GSAS),3.4,CS,Masters,Accepted,I,2017,3.6,162,168,330,4,TRUE
112,(Arizona State University) ASU,3.1,CS,Masters,Accepted,I,2016,3.35,152,161,313,3,TRUE
113,"University Of California, Berkeley",5,CS,Masters,Accepted,I,2016,3.2,161,170,331,5,TRUE
114,Cornell,4.5,CS,PhD,Rejected,A,2014,4,162,170,332,4,TRUE
115,Carnegie  Mellon University (CMU),5,CS,PhD,Accepted,I,2016,3.8,162,170,332,4,TRUE
116,New York Univeristy (NYU GSAS),3.4,CS,Masters,Rejected,I,2018,3.86,158,166,324,4,TRUE
117,The University Of Southern California (USC),3.7,CS,Masters,Accepted,U,2016,3.92,150,163,313,3.5,TRUE
118,The University Of Virginia (UVA),3.4,CS,Masters,Accepted,A,2018,3.07,164,170,334,4,TRUE
119,Stanford,5,CS,PhD,Rejected,A,2015,3.93,160,165,325,3.5,TRUE
120,GaTech (Georgia Institute Of Technology),4.4,CS,Masters,Accepted,I,2016,4,159,170,329,4,TRUE
121,NCSU North Carolina State University,3.1,CS,Masters,Accepted,I,2016,3.66,158,168,326,5,TRUE
122,University Of Illinois At Urbana-Champaign,4.6,CS,PhD,Accepted,I,2013,3.93,169,165,334,3.5,TRUE
123,GaTech (Georgia Institute Of Technology),4.4,CS,Masters,Rejected,I,2018,9.65,151,170,321,4.5,TRUE
124,Columbia  University (Fu Foundation),4.1,CS,Masters,Accepted,I,2016,3.5,157,167,324,3.5,TRUE
125,University Of California Berkeley,5,CS,Masters,Rejected,I,2016,3.7,153,162,315,4,TRUE
126,"University Of California, Berkeley",5,CS,PhD,Accepted,A,2014,3.8,165,169,334,5,TRUE
127,University Of Texas At Austin (UTAustin),4.3,CS,PhD,Accepted,U,2018,3.91,166,170,336,3.5,TRUE
128,State University New York (SUNY) Stony Brook,3.2,CS,Masters,Rejected,I,2018,3.34,155,170,325,4,TRUE
129,University Of Chicago,3.4,CS,PhD,Accepted,I,2015,3.8,160,167,327,4,TRUE
130,University Of Virginia,3.4,CS,PhD,Accepted,A,2015,3.6,158,168,326,4.5,TRUE
131,"University Of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Rejected,I,2014,3.7,153,160,313,4,TRUE
132,University Of Pennsylvania (UPenn),3.8,Other,Masters,Accepted,A,2012,3.73,163,164,327,5,TRUE
133,Univerisity Of Wisconsin Madison,4.1,CS,Masters,Rejected,I,2017,3.5,156,170,326,4,TRUE
134,UC Berkeley,5,CS,PhD,Rejected,I,2013,3.35,142,167,309,3.5,TRUE
135,(Arizona State University) ASU Tempe,3.1,CS,Masters,Rejected,I,2018,3.2,158,170,328,4,TRUE
136,The University Of Southern California (USC),3.7,CS,Masters,Rejected,U,2017,3.5,168,165,333,4.5,TRUE
137,Columbia University,4.1,CS,Masters,Rejected,I,2012,3.14,156,166,322,5,TRUE
138,Texas A&M;,3.1,CS,Masters,Accepted,I,2013,3.84,160,165,325,3,TRUE
139,University Of California At Berkeley (UC Berkeley),5,CS,PhD,Accepted,I,2012,3.9,160,165,325,3.5,TRUE
140,UC Davis,3.3,CS,PhD,Rejected,A,2015,3.85,156,168,324,4,TRUE
141,Stanford University,5,CS,Masters,Rejected,I,2015,3.9,163,167,330,4.5,TRUE
142,University Of Utah,3.1,CS,Masters,Accepted,I,2016,3.7,157,170,327,3.5,TRUE
143,University Of Washington,4.5,CS,PhD,Rejected,A,2015,3.27,156,163,319,4.5,TRUE
144,Massachusett Institute Of Technology (MIT),5,CS,PhD,Rejected,A,2018,3.26,163,164,327,6,TRUE
145,Indiana Univeristy- Bloomington (IUB),2.9,CS,Masters,Accepted,I,2016,3.6,145,160,305,3,TRUE
146,Carnege Mellon University (CMU),5,CS,PhD,Rejected,A,2018,3.79,163,159,322,4,TRUE
147,JHU (Johns Hopkins University),3.6,CS,Masters,Rejected,I,2018,3.6,158,166,324,4,TRUE
148,CMU,5,CS,PhD,Rejected,I,2015,3.2,164,170,334,5,TRUE
149,GaTech (Georgia Institute Of Technology),4.4,CS,Masters,Rejected,I,2016,3.3,163,166,329,3.5,TRUE
150,ีUniversity Of Maryland - College Park (UMD),4,CS,Masters,Rejected,U,2018,3.5,157,165,322,4,TRUE
151,"UCSD (University Of California, San Diego)",4,CS,Masters,Accepted,A,2017,3.15,162,168,330,5,TRUE
152,Suny Stony Brook,3.2,CS,Masters,Accepted,I,2015,3.8,157,166,323,4,TRUE
153,Purdue University  West Lafayette,3.7,CS,PhD,Accepted,I,2018,3.5,154,164,318,3.5,TRUE
154,University Of California Irvine,3.4,CS,Masters,Accepted,I,2015,3.55,164,165,329,4.5,TRUE
155,NC State (North Carolina State),3.1,CS,Masters,Accepted,U,2016,3.6,165,153,318,3.5,TRUE
156,Penn State (Pennsylvania State University),3.4,CS,PhD,Accepted,I,2016,3.68,155,168,323,3,TRUE
157,Columbia University,4.1,CS,PhD,Rejected,A,2014,2.53,151,165,316,5,TRUE
158,Princeton University,4.4,CS,Masters,Rejected,U,2017,3.99,170,170,340,6,TRUE
159,UCLA,4.1,CS,Masters,Rejected,I,2014,3.41,167,169,336,4,TRUE
160,Stanford,5,CS,PhD,Rejected,A,2015,3.82,162,167,329,4.5,TRUE
161,"University Of Michigan, Ann Arbor",4.2,CS,PhD,Rejected,A,2016,3.71,169,164,333,4.5,TRUE
162,Columbia University (FFSEAS),4.1,CS,Masters,Accepted,I,2018,3.96,158,170,328,4,TRUE
163,CU Boulder,3.2,CS,PhD,Rejected,A,2015,3.44,159,156,315,3,TRUE
164,University Of Minnesota - Twin Cities (UMN),3.5,CS,Masters,Accepted,I,2017,3.52,157,170,327,5,TRUE
165,University Of Southern California USC,3.7,CS,Masters,Rejected,I,2014,3.4,159,164,323,4.5,TRUE
166,Berkeley,5,CS,PhD,Rejected,A,2015,3.5,152,169,321,,TRUE
167,UMass (Amherst),3.7,CS,PhD,Accepted,I,2016,3.64,155,164,319,3.5,TRUE
168,University Of Texas At Austin (UT Austin),4.3,CS,PhD,Rejected,I,2017,3.93,166,168,334,5,TRUE
169,University Of Texas At Austin (UT Austin),4.3,CS,PhD,Accepted,U,2017,3.83,170,157,327,4.5,TRUE
170,"UCSD (University Of California, San Diego)",4,CS,Masters,Accepted,I,2016,3.9,167,155,322,3,TRUE
171,University Of Washington,4.5,CS,PhD,Accepted,I,2015,3.97,148,170,318,3,TRUE
172,"University Of California, Davis",3.3,CS,PhD,Rejected,A,2014,3.67,161,166,327,4,TRUE
173,University Of Utah,3.1,CS,Masters,Accepted,I,2015,3.65,151,162,313,4,TRUE
174,Columbia  University (Fu Foundation),4.1,CS,Masters,Rejected,U,2016,3.7,158,161,319,4,TRUE
175,"UCSD (University Of California, San Diego)",4,CS,Masters,Accepted,I,2018,3.96,159,168,327,4.5,TRUE
176,ีืUniversity Of Chicago,3.4,CS,Masters,Rejected,A,2018,3.33,157,167,324,4.5,TRUE
177,UC Irvine,3.4,CS,PhD,Accepted,I,2014,3.4,168,157,325,3.5,TRUE
178,Cornell (Ithaca),4.5,CS,Masters,Rejected,I,2017,3.44,156,170,326,4,TRUE
179,University Of Texas-Austin,4.3,CS,Masters,Rejected,U,2015,3.8,170,159,329,4.5,TRUE
180,Columbia Uniersity,4.1,CS,Masters,Rejected,A,2018,3.2,155,161,316,4,TRUE
181,University Of California Santa Cruz Ucsc,2.8,CS,PhD,Rejected,I,2013,4,155,170,325,3.5,TRUE
182,CMU,5,CS,Masters,Rejected,I,2015,3.8,163,161,324,4.5,TRUE
183,Oregon State U Corvallis,2.5,CS,Masters,Accepted,A,2018,3.5,157,162,319,4,TRUE
184,NCSU,3.1,CS,Masters,Accepted,I,2015,3.2,155,170,325,4,TRUE
185,UC Berkeley,5,CS,PhD,Accepted,I,2013,3.8,145,166,311,3,TRUE
186,"University Of California, Irvine (UCI)",3.4,CS,Masters,Rejected,U,2012,3.3,154,168,322,4.5,TRUE
187,University Of Minnesota,3.5,CS,PhD,Accepted,U,2015,3.8,159,170,329,4,TRUE
188,University Of Maryland College Park,4,CS,Masters,Rejected,I,2015,3.48,158,168,326,4,TRUE
189,NYU Tandon,3.4,CS,Masters,Rejected,I,2016,2.9,150,161,311,3,TRUE
190,"(University Of California, Los Angeles (UCLA)",4.1,CS,Masters,Accepted,A,2017,3.7,159,166,325,4.5,TRUE
191,Yale,3.7,CS,Masters,Rejected,U,2017,3.4,154,169,323,3.5,TRUE
192,New York Univeristy (NYU GSAS),3.4,CS,Masters,Rejected,I,2018,3,158,170,328,4,TRUE
193,"University Of Michigan, Ann Arbor",4.2,CS,Masters,Rejected,A,2017,3.84,159,169,328,4,TRUE
194,Rice Ｕniversity,3.7,CS,Masters,Rejected,A,2017,3.95,157,157,314,3.5,TRUE
195,Oregon State,2.5,CS,PhD,Rejected,A,2015,4,155,169,324,3.5,TRUE
196,UC Los Angeles(UCLA),4.1,CS,Masters,Rejected,I,2018,3.83,162,167,329,4.5,TRUE
197,UC Santa Cruz,2.8,CS,Masters,Rejected,I,2018,7.69,152,168,320,3,TRUE
198,UC Berkeley,5,CS,Masters,Rejected,I,2015,3.72,155,167,322,4,TRUE
199,Massachusetts Institute Of Technology (MIT),5,CS,PhD,Accepted,I,2012,3.65,152,167,319,3.5,TRUE
200,University Of California Irvine (UC Irvine),3.4,CS,Masters,Rejected,I,2016,8,153,168,321,4,TRUE
201,Stanford University,5,CS,PhD,Accepted,I,2015,4,170,153,323,4,TRUE
202,University Of Wisconsin - Madison,4.1,CS,PhD,Rejected,I,2013,3.92,154,165,319,3.5,TRUE
203,Carnagie Mellon University (CMU) LTI,5,CS,Masters,Accepted,I,2018,3.3,154,168,322,3.5,TRUE
204,Georgia Institute Of Technology,4.4,CS,Masters,Rejected,I,2015,3.6,161,170,331,4,TRUE
205,University Of Southern California,3.7,CS,Masters,Accepted,I,2014,3.6,168,145,313,3,TRUE
206,MIT,5,CS,PhD,Accepted,I,2014,3.7,156,169,325,4,TRUE
207,ีUniversity Of Maryland - College Park (UMD),4,CS,Masters,Accepted,I,2017,3.9,159,170,329,4,TRUE
208,"The University Of California, Los Angeles (UCLA)",4.1,CS,Masters,Accepted,U,2016,3.93,152,170,322,3.5,TRUE
209,Cornell,4.5,CS,PhD,Rejected,A,2018,3.94,159,166,325,5,TRUE
210,"""University Of Washington (Seattle)",4.5,CS,Masters,Rejected,I,2018,2.96,158,165,323,3,TRUE
211,"University Of Colorado, Boulder",3.2,CS,Masters,Accepted,I,2014,3.89,161,157,318,4,TRUE
212,MIT,5,CS,PhD,Rejected,A,2015,3.47,150,159,309,2.5,TRUE
213,Syracuse University,2.5,CS,PhD,Rejected,I,2015,3.7,146,162,308,2.5,TRUE
214,Ohio State Uiversity,3.4,CS,Masters,Accepted,I,2016,3.7,155,167,322,4,TRUE
215,Ohio State University,3.4,CS,PhD,Accepted,I,2013,3.92,154,165,319,3.5,TRUE
216,Illinois At Urbana Champaign (UIUC),4.6,CS,Masters,Accepted,I,2018,3.94,163,168,331,4.5,TRUE
217,"University Of California, Santa Barbara (UCSB)",3.3,CS,Masters,Rejected,I,2015,3.42,150,165,315,3,TRUE
218,Princeton University,4.4,CS,Masters,Accepted,A,2017,3.8,161,165,326,5,TRUE
219,"University Of California, San Diego",4,CS,Masters,Accepted,I,2015,3.7,164,169,333,4.5,TRUE
220,Carnegie  Mellon University (CMU),5,CS,Masters,Rejected,I,2018,3.8,163,169,332,4.5,TRUE
221,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,A,2015,3.68,165,165,330,4,TRUE
222,University Of Washington,4.5,CS,PhD,Rejected,I,2013,3.7,148,161,309,3.5,TRUE
223,University Of Michigan  Ann Arbor,4.2,CS,PhD,Accepted,I,2016,3.7,152,170,322,4,TRUE
224,UCLA,4.1,CS,Masters,Accepted,U,2016,3.88,150,170,320,3.5,TRUE
225,Oregon State University,2.5,CS,PhD,Rejected,I,2014,3.43,145,160,305,3.5,TRUE
226,Princeton,4.4,CS,Masters,Accepted,A,2016,3.97,165,167,332,5.5,TRUE
227,Carnege Mellon University(CMU),5,CS,Masters,Rejected,U,2017,3.82,168,152,320,3.5,TRUE
228,Cornell (Ithaca),4.5,CS,PhD,Rejected,I,2017,3.83,164,169,333,5,TRUE
229,Ohio State University,3.4,CS,PhD,Rejected,A,2015,3.85,158,159,317,5,TRUE
230,"University Of Michigan, Ann Arbor",4.2,CS,Masters,Accepted,A,2017,3.88,160,168,328,5,TRUE
231,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,Masters,Rejected,I,2016,7.77,159,169,328,3.5,TRUE
232,Carnege Mellon University - LTI,5,CS,Masters,Rejected,I,2017,3.97,166,168,334,4,TRUE
233,University Of Texas At Austin,4.3,CS,Masters,Rejected,I,2016,3.2,161,170,331,5,TRUE
234,Yale University,3.7,CS,Masters,Rejected,A,2017,3.2,161,159,320,4.5,TRUE
235,"Arizona State Univeristy, Tempe",3.1,CS,PhD,Accepted,I,2018,3.76,146,162,308,3,TRUE
236,ีUniversity Of Maryland - College Park (UMD),4,CS,Masters,Rejected,I,2016,3.45,156,161,317,4,TRUE
237,University Of Wisconsin-Madison,4.1,CS,PhD,Rejected,I,2015,2.95,152,163,315,3,TRUE
238,UC Berkeley,5,CS,Masters,Rejected,A,2016,3.73,157,170,327,5,TRUE
239,University Of Washington - Seattle (UW),4.5,CS,PhD,Rejected,A,2012,3.47,167,157,324,5.5,TRUE
240,"""University Of Washington Seattle",4.5,CS,PhD,Rejected,I,2016,3.65,156,170,326,3,TRUE
241,Boston University (BU),3,CS,PhD,Accepted,A,2017,3.86,158,168,326,4.5,TRUE
242,"""University Of Washington (Seattle)",4.5,CS,Masters,Accepted,A,2018,3.92,161,166,327,4.5,TRUE
243,Ohio State University,3.4,CS,Masters,Rejected,I,2015,3.5,155,165,320,4,TRUE
244,Stanford University,5,CS,PhD,Rejected,U,2015,3.92,170,153,323,3,TRUE
245,Johns Hopkins University (JHU),3.6,CS,PhD,Accepted,A,2013,3.64,160,163,323,5,TRUE
246,Ohio State University,3.4,CS,Masters,Accepted,I,2015,3.04,160,167,327,3.5,TRUE
247,University Of California Irvine ( UCI ),3.4,CS,Masters,Accepted,U,2018,3.7,159,169,328,4,TRUE
248,Stony Brook,3.2,CS,Masters,Accepted,I,2014,3.8,154,166,320,3,TRUE
249,UC Berkeley,5,CS,PhD,Rejected,I,2014,4,155,170,325,4,TRUE
250,UCSD,4,CS,Masters,Rejected,I,2015,3.7,159,165,324,5,TRUE
251,University Of Chicago,3.4,CS,Masters,Accepted,A,2018,3.73,166,166,332,5.5,TRUE
252,UC Berkeley,5,CS,PhD,Rejected,I,2014,3.8,153,166,319,3,TRUE
253,Carnegie Mellon  University (CMU),5,CS,PhD,Rejected,U,2018,3.4,153,164,317,4,TRUE
254,New York Univeristy (NYU GSAS),3.4,CS,Masters,Rejected,I,2018,3.67,164,169,333,3.5,TRUE
255,University Of Texas At Austin,4.3,CS,Masters,Accepted,U,2016,3.99,169,170,339,5,TRUE
256,Brown University,3.6,CS,Masters,Accepted,I,2018,3.7,164,167,331,3.5,TRUE
257,Massachusetts Institute Of Technology (MIT),5,CS,PhD,Rejected,A,2018,3.9,165,170,335,5,TRUE
258,Carnegie  Mellon University (CMU),5,CS,PhD,Rejected,I,2018,3.1,156,170,326,3,TRUE
259,Georgia Tech,4.4,CS,Masters,Accepted,A,2013,3.81,169,170,339,5,TRUE
260,University Of Washington - Seattle (UW),4.5,CS,PhD,Rejected,I,2012,3.7,144,166,310,4,TRUE
261,SUNY Buffalo,2.7,CS,Masters,Accepted,I,2015,3.7,151,162,313,4,TRUE
262,JHU Johns Hopkins,3.6,CS,Masters,Accepted,I,2016,3.8,170,166,336,4.5,TRUE
263,Carnegie Mellon University,5,CS,Masters,Accepted,I,2014,4,151,163,314,3.5,TRUE
264,The University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,U,2017,4,155,165,320,5.5,TRUE
265,Stony Brook University,3.2,CS,PhD,Accepted,U,2018,3.16,157,166,323,4,TRUE
266,The University Of Chicago,3.4,CS,Masters,Accepted,A,2012,3.64,159,160,319,5.5,TRUE
267,Virginia Tech,3.2,CS,Masters,Accepted,I,2015,3.5,159,165,324,4,TRUE
268,UMass Amherst / University Of Massachusetts Amherst,3.7,CS,Masters,Accepted,I,2016,3.75,152,167,319,3.5,TRUE
269,Carnegie Mellon (CMU) LTI,5,CS,Masters,Accepted,I,2016,3.68,152,164,316,,TRUE
270,California Institute Of Technology (Caltech),4.2,CS,PhD,Accepted,I,2012,3.86,152,165,317,3.5,TRUE
