id,university,ranking, major, degree, decision, status, year, gpafin, grev, grem,gretot, grew, new_gre
216,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2014,3.85,169,167,336,4,TRUE
217,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,A,2014,3.49,165,166,331,4.5,TRUE
218,University Of Washington,4.5,CS,PhD,Rejected,I,2014,3.84,145,162,307,3,TRUE
219,"University of California, Santa Cruz (UCSC)",2.8,CS,Masters,Accepted,I,2016,3.5,154,165,319,3.5,TRUE
220,University Of Virginia (UVA),3.4,CS,Masters,Rejected,I,2015,3.6,164,163,327,3.5,TRUE
221,"University of California, Davis",3.3,CS,PhD,Accepted,I,2014,3.86,155,160,315,4.5,TRUE
222,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,A,2018,3.84,169,159,328,5.5,TRUE
223,University of Kansas,2.2,CS,PhD,Accepted,A,2015,4,161,168,329,4.5,TRUE
224,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2013,3.7,163,170,333,3,TRUE
225,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,I,2014,3.8,141,168,309,3,TRUE
226,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,I,2015,3.5,150,170,320,3,TRUE
227,State University of New York (SUNY) Stony Brook,3.2,CS,PhD,Accepted,I,2016,3.52,157,170,327,3.5,TRUE
228,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2016,3.59,166,167,333,5,TRUE
229,"University Of California, Irvine",3.4,CS,Masters,Accepted,U,2015,3.83,166,153,319,3,TRUE
230,Columbia University,4.1,CS,PhD,Rejected,I,2015,3.56,152,166,318,3.5,TRUE
231,University of Notre Dame,2.8,CS,PhD,Accepted,A,2017,3.8,159,150,309,4,TRUE
232,Oregon State University,2.5,CS,PhD,Rejected,I,2015,3.51,153,157,310,3.5,TRUE
233,"University Of California, Riverside",2.7,CS,PhD,Accepted,U,2018,3.72,153,167,320,3,TRUE
234,Stanford University,5,CS,PhD,Rejected,I,2015,3.84,154,167,321,3.5,TRUE
235,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Rejected,A,2018,3.76,154,167,321,4,TRUE
236,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,U,2014,3.25,147,159,306,4,TRUE
237,Indiana University,2.9,CS,Masters,Accepted,I,2016,3.38,146,159,305,4,TRUE
238,University of Texas at Austin,4.3,CS,PhD,Rejected,I,2018,3.74,161,170,331,4.5,TRUE
239,University Of Washington,4.5,CS,PhD,Accepted,A,2015,3.7,164,166,330,4,TRUE
240,Columbia University,4.1,CS,Masters,Accepted,I,2015,3.5,157,168,325,4,TRUE
241,Cornell University,4.5,CS,PhD,Rejected,U,2017,3.98,165,170,335,4,TRUE
242,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2016,3.7,167,170,337,4,TRUE
243,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2016,4,160,167,327,5,TRUE
244,Stanford University,5,CS,PhD,Rejected,U,2018,3.55,151,167,318,4,TRUE
245,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,A,2017,3.65,167,162,329,5,TRUE
246,Duke University,3.6,CS,PhD,Rejected,A,2018,3.2,167,168,335,5.5,TRUE
247,Columbia University,4.1,CS,Masters,Rejected,I,2016,3.7,156,164,320,3.5,TRUE
248,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2016,3.73,160,167,327,5,TRUE
249,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2014,3.2,154,164,318,3,TRUE
250,Columbia University,4.1,CS,Masters,Accepted,U,2016,3.92,164,164,328,4,TRUE
251,"University Of California, Berkeley",5,CS,PhD,Rejected,A,2018,3.26,163,164,327,6,TRUE
252,Columbia University,4.1,CS,Masters,Accepted,U,2018,3.5,168,170,338,4.5,TRUE
253,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Rejected,A,2018,3.69,161,166,327,4.5,TRUE
254,Columbia University,4.1,CS,Masters,Accepted,I,2017,3.8,155,170,325,4.5,TRUE
255,Columbia University,4.1,CS,Masters,Accepted,I,2016,3.56,157,167,324,4,TRUE
256,University Of Maryland,4,CS,Masters,Rejected,A,2013,3.81,169,170,339,5,TRUE
257,"University Of Minnesota, Twin Cities",3.5,CS,Masters,Accepted,I,2013,3.6,143,166,309,3,TRUE
258,New York University (NYU),3.4,CS,PhD,Rejected,A,2017,3.2,164,170,334,5,TRUE
259,"University Of Colorado, Boulder",3.2,CS,Masters,Accepted,I,2016,3.3,146,168,314,3,TRUE
260,Boston University,3.4,CS,Masters,Accepted,A,2018,3.4,164,161,325,5,TRUE
261,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,I,2018,3.78,164,165,329,4,TRUE
262,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2013,3.6,165,165,330,5.5,TRUE
263,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Rejected,I,2013,3.44,154,158,312,3.5,TRUE
264,University Of California Los Angeles (UCLA),4.1,CS,Masters,Rejected,A,2017,3.67,155,157,312,4,TRUE
265,University of Texas at Austin,4.3,CS,Masters,Accepted,I,2018,3.96,158,170,328,4,TRUE
266,Cornell University,4.5,CS,PhD,Accepted,I,2013,3.93,169,165,334,3.5,TRUE
267,University of Chicago,3.4,CS,Masters,Accepted,A,2017,3.54,168,168,336,5,TRUE
268,"University Of California, Berkeley",5,CS,PhD,Rejected,I,2015,3.89,158,168,326,4,TRUE
269,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.73,148,168,316,3,TRUE
270,State University of New York (SUNY) Stony Brook,3.2,CS,Masters,Accepted,I,2016,3.93,155,170,325,3.5,TRUE
